date,attempt,direction,entry_time,entry_price,exit_time,exit_price,result,pnl,capital
2024-06-15,1,long,2024-06-15 09:00:00+09:00,1.138e-05,2024-06-15 23:00:00+09:00,1.199e-05,EOD,35.592681195079145,99889.0895716873
2024-06-16,1,long,2024-06-16 09:00:00+09:00,1.186e-05,2024-06-16 23:00:00+09:00,1.202e-05,EOD,8.75769510961215,99897.84726679692
2024-06-17,1,long,2024-06-17 09:00:00+09:00,1.231e-05,2024-06-17 15:00:00+09:00,1.16945e-05,SL,-33.71760000000006,99864.12966679691
2024-06-17,2,short,2024-06-17 15:00:00+09:00,1.16945e-05,2024-06-17 23:00:00+09:00,1.148e-05,EOD,24.113988353499437,99888.2436551504
2024-06-18,1,long,2024-06-18 09:00:00+09:00,1.117e-05,2024-06-18 10:00:00+09:00,1.06115e-05,SL,-33.71759999999999,99854.5260551504
2024-06-18,2,short,2024-06-18 10:00:00+09:00,1.06115e-05,2024-06-18 23:00:00+09:00,1.033e-05,EOD,35.1157949017576,99889.64185005215
2024-06-19,1,long,2024-06-19 09:00:00+09:00,1.097e-05,2024-06-19 23:00:00+09:00,1.114e-05,EOD,10.099765542388337,99899.74161559454
2024-06-20,1,long,2024-06-20 09:00:00+09:00,1.136e-05,2024-06-20 23:00:00+09:00,1.134e-05,EOD,-1.4454169014084395,99898.29619869313
2024-06-21,1,long,2024-06-21 09:00:00+09:00,1.099e-05,2024-06-21 23:00:00+09:00,1.149e-05,EOD,30.16916069153778,99928.46535938467
2024-06-22,1,long,2024-06-22 09:00:00+09:00,1.142e-05,2024-06-22 23:00:00+09:00,1.151e-05,EOD,5.004729246935151,99933.47008863161
2024-06-23,1,long,2024-06-23 09:00:00+09:00,1.143e-05,2024-06-23 23:00:00+09:00,1.132e-05,EOD,-6.70592020997379,99926.76416842164
2024-06-24,1,long,2024-06-24 09:00:00+09:00,1.092e-05,2024-06-24 14:00:00+09:00,1.0374e-05,SL,-33.717600000000076,99893.04656842163
2024-06-24,2,short,2024-06-24 14:00:00+09:00,1.0374e-05,2024-06-24 23:00:00+09:00,1.08927e-05,SL,-67.73760000000009,99825.30896842164
2024-06-25,1,long,2024-06-25 09:00:00+09:00,1.13e-05,2024-06-25 23:00:00+09:00,1.271e-05,EOD,83.20939115044249,99908.51835957209
2024-06-26,1,long,2024-06-26 09:00:00+09:00,1.285e-05,2024-06-26 23:00:00+09:00,1.244e-05,EOD,-21.613125291828855,99886.90523428026
2024-06-27,1,long,2024-06-27 09:00:00+09:00,1.254e-05,2024-06-27 23:00:00+09:00,1.232e-05,EOD,-12.004442105263136,99874.900792175
2024-06-28,1,long,2024-06-28 09:00:00+09:00,1.26e-05,2024-06-28 23:00:00+09:00,1.227e-05,EOD,-17.789028571428585,99857.11176360358
2024-06-29,1,long,2024-06-29 09:00:00+09:00,1.159e-05,2024-06-29 23:00:00+09:00,1.172e-05,EOD,7.236282657463258,99864.34804626105
2024-06-30,1,long,2024-06-30 09:00:00+09:00,1.131e-05,2024-06-30 23:00:00+09:00,1.127e-05,EOD,-2.633647745358067,99861.71439851569
